county_district_school_code,school_name,gs_school_name,school_address,gs_school_address,gs_school_link,fuzzy_name_score,fuzzy_address_score
09-0715-020,Cape May County High School,Cape May Co Tech High School,"148 CREST HAVEN ROAD, CAPE MAY COURT HOUSE, NJ, 08210","188 CREST HAVEN RD, Middle Township, NJ, 08210",https://www.greatschools.org/new-jersey/middle-township/273-Cape-May-Co-Tech-High-School/,86.95652173913044,64.93506493506493
09-0720-030,Cape May County Technical High SChool,Cape May Co Tech High School,"188 CREST HAVEN RD, CAPE MAY COURT HOUSE, NJ, 08210","188 CREST HAVEN RD, Middle Township, NJ, 08210",https://www.greatschools.org/new-jersey/middle-township/273-Cape-May-Co-Tech-High-School/,83.63636363636364,69.33333333333334
09-5340-050,Upper Township Elementary School,Upper Township Elementary School,"50 OLD TUCKAHOE RD, MARMORA, NJ, 08223","50 North Old Tuckahoe Road, Marmora, NJ, 08223",https://www.greatschools.org/new-jersey/marmora/2033-Upper-Township-Elementary-School/,100.0,89.23076923076923
09-5340-055,Upper Township Primary School,Upper Township Elementary School,"130 OLD TUCKAHOE RD, MARMORA, NJ, 08223","50 North Old Tuckahoe Road, Marmora, NJ, 08223",https://www.greatschools.org/new-jersey/marmora/2033-Upper-Township-Elementary-School/,83.63636363636364,84.84848484848484
31-2700-070,Little Falls Township Public School # 3,Little Falls Township Public School # 3,"Little Falls School # 3, LITTLE FALLS, NJ, 07424","Little Falls School # 3, Little Falls, NJ, 07424",https://www.greatschools.org/new-jersey/little-falls/3493-Number-3/,100.0,100.0
31-2700-060,Little Falls Township Public School # 2,Little Falls Township Public School # 3,"Little Falls School # 2, LITTLE FALLS, NJ, 07424","Little Falls School # 3, Little Falls, NJ, 07424",https://www.greatschools.org/new-jersey/little-falls/3493-Number-3/,96.96969696969697,97.2972972972973
07-2670-090,Lindenwold Middle School,Lindenwold Middle School,"40 WHITE HORSE AVENUE, LINDENWOLD, NJ, 08021","40 White Horse Avenue, Lindenwold, NJ, 08021",https://www.greatschools.org/new-jersey/lindenwold/3450-Lindenwold-Middle-School/,100.0,100.0
07-2670-300,Lindenwold Preschool Building,Lindenwold Middle School,"100 South Avenue, Lindenwold, NJ, 08021","40 White Horse Avenue, Lindenwold, NJ, 08021",https://www.greatschools.org/new-jersey/lindenwold/3450-Lindenwold-Middle-School/,69.38775510204081,78.78787878787878
13-1750-075,Ridgewood Avenue School,Ridgewood Avenue School,"235 RIDGEWOOD AVE, GLEN RIDGE, NJ, 07028","235 Ridgewood Avenue, Glen Ridge, NJ, 07028",https://www.greatschools.org/new-jersey/glen-ridge/666-Ridgewood-Avenue-School/,100.0,95.38461538461539
13-1750-080,Linden Avenue School,Ridgewood Avenue School,"205 LINDEN AVE, GLEN RIDGE, NJ, 07028","235 Ridgewood Avenue, Glen Ridge, NJ, 07028",https://www.greatschools.org/new-jersey/glen-ridge/666-Ridgewood-Avenue-School/,76.92307692307692,77.41935483870968
23-1290-090,James Madison Intermediate School,James Madison Intermediate Elementary School,"838 NEW DOVER ROAD, EDISON, NJ, 08820","838 New Dover Road, Edison, NJ, 08820",https://www.greatschools.org/new-jersey/edison/484-James-Madison-Intermediate-Elementary-School/,85.71428571428572,100.0
23-1290-092,James Madison Primary School,James Madison Intermediate Elementary School,"840 NEW DOVER ROAD, EDISON, NJ, 08820","838 New Dover Road, Edison, NJ, 08820",https://www.greatschools.org/new-jersey/edison/484-James-Madison-Intermediate-Elementary-School/,73.84615384615385,92.85714285714286
17-0220-020,Bayonne High School,Bayonne High School,"669 AVENUE A, BAYONNE, NJ, 07002","669 Avenue A, Bayonne, NJ, 07002",https://www.greatschools.org/new-jersey/bayonne/68-Bayonne-High-School/,100.0,100.0
17-0220-010,Bayonne Alternative High School,Bayonne High School,"669 Avenue A, Bayonne, NJ, 07002","669 Avenue A, Bayonne, NJ, 07002",https://www.greatschools.org/new-jersey/bayonne/68-Bayonne-High-School/,75.55555555555556,100.0
