county_name,district_name,school_name,county_district_school_code,school_address,name_enc,address_enc,gs_school_name,gs_school_address,gs_school_link,rating_band,rating,gs_name_enc,gs_address_enc,fuzzy_name_score,fuzzy_address_score
Middlesex,Edison Township School District,Edison High School,23-1290-050,"50 BOULEVARD OF THE EAGLES, EDISON, NJ, 08817",EDISONHIGHSCHOOL,50BOULEVARDOFTHEEAGLESEDISONNJ08817,Edison High School,"50 Boulevard of the Eagles, Edison, NJ, 08817",https://www.greatschools.org/new-jersey/edison/477-Edison-High-School/,Below average,4.0,EDISONHIGHSCHOOL,50BOULEVARDOFTHEEAGLESEDISONNJ08817,100.0,100.0
Morris,Dover Public School District,Dover Middle School,27-1110-065,"302 EAST MCFARLAN STREET, DOVER, NJ, 07801",DOVERMIDDLESCHOOL,302EASTMCFARLANSTREETDOVERNJ07801,Dover Middle School,"302 East McFarlan Street, Dover, NJ, 07801",https://www.greatschools.org/new-jersey/dover/406-Dover-Middle-School/,Below average,4.0,DOVERMIDDLESCHOOL,302EASTMCFARLANSTREETDOVERNJ07801,100.0,100.0
Passaic,Wayne Township Public School District,Pines Lake Elementary School,31-5570-120,"511 PINES LAKE DRIVE, WAYNE, NJ, 07470",PINESLAKEELEMENTARYSCHOOL,511PINESLAKEDRIVEWAYNENJ07470,Pines Lake Elementary School,"511 Pines Lake Drive, Wayne, NJ, 07470",https://www.greatschools.org/new-jersey/wayne/2131-Pines-Lake-Elementary-School/,Above average,8.0,PINESLAKEELEMENTARYSCHOOL,511PINESLAKEDRIVEWAYNENJ07470,100.0,100.0
Bergen,Waldwick School District,Crescent Elementary School,03-5410-040,"165 CRESCENT AVENUE, WALDWICK, NJ, 07463",CRESCENTELEMENTARYSCHOOL,165CRESCENTAVENUEWALDWICKNJ07463,Crescent Elementary School,"165 Crescent Avenue, Waldwick, NJ, 07463",https://www.greatschools.org/new-jersey/waldwick/2073-Crescent-Elementary-School/,Above average,7.0,CRESCENTELEMENTARYSCHOOL,165CRESCENTAVENUEWALDWICKNJ07463,100.0,100.0
Monmouth,Red Bank Borough Public School District,Red Bank Primary School,25-4360-075,"222 RIVER STREET, RED  BANK, NJ, 07701",REDBANKPRIMARYSCHOOL,222RIVERSTREETREDBANKNJ07701,Red Bank Primary School,"222 RIVER STREET, Red Bank, NJ, 07701",https://www.greatschools.org/new-jersey/red-bank/1721-Red-Bank-Primary-School/,Below average,4.0,REDBANKPRIMARYSCHOOL,222RIVERSTREETREDBANKNJ07701,100.0,100.0
Burlington,Shamong Township School District,Indian Mills Elementary School,05-4740-050,"112 INDIAN MILLS ROAD, SHAMONG, NJ, 08088",INDIANMILLSELEMENTARYSCHOOL,112INDIANMILLSROADSHAMONGNJ08088,Indian Mills Elementary School,"112 Indian Mills Road, Shamong, NJ, 08088",https://www.greatschools.org/new-jersey/shamong/1831-Indian-Mills-Elementary-School/,Above average,7.0,INDIANMILLSELEMENTARYSCHOOL,112INDIANMILLSROADSHAMONGNJ08088,100.0,100.0
Bergen,Closter Public School District,Tenakill Middle School,03-0930-060,"275 High Street, CLOSTER, NJ, 07624",TENAKILLMIDDLESCHOOL,275HIGHSTREETCLOSTERNJ07624,Tenakill Middle School,"275 High Street, Closter, NJ, 07624",https://www.greatschools.org/new-jersey/closter/355-Tenakill-Middle-School/,Above average,9.0,TENAKILLMIDDLESCHOOL,275HIGHSTREETCLOSTERNJ07624,100.0,100.0
Hudson,Weehawken Public School District,Weehawken High School,17-5580-050,"53 LIBERTY PLACE, WEEHAWKEN, NJ, 07086",WEEHAWKENHIGHSCHOOL,53LIBERTYPLACEWEEHAWKENNJ07086,Weehawken High School,"53 Liberty Place, Weehawken, NJ, 07086",https://www.greatschools.org/new-jersey/weehawken/2136-Weehawken-High-School/,Below average,4.0,WEEHAWKENHIGHSCHOOL,53LIBERTYPLACEWEEHAWKENNJ07086,100.0,100.0
Gloucester,Woodbury City Public School District,West End Memorial Elementary School,15-5860-110,"215 Queen Street, Woodbury, NJ, 08096",WESTENDMEMORIALELEMENTARYSCHOOL,215QUEENSTREETWOODBURYNJ08096,West End Memorial Elementary School,"215 Queen Street, Woodbury, NJ, 08096",https://www.greatschools.org/new-jersey/woodbury/2269-West-End-Memorial-Elementary-School/,Below average,2.0,WESTENDMEMORIALELEMENTARYSCHOOL,215QUEENSTREETWOODBURYNJ08096,100.0,100.0
Camden,Gloucester City Public School District,Cold Springs School,07-1770-160,"1194 MARKET STREET, GLOUCESTER CITY, NJ, 08030",COLDSPRINGSSCHOOL,1194MARKETSTREETGLOUCESTERCITYNJ08030,Cold Springs School,"1194 Market Street, Gloucester City, NJ, 08030",https://www.greatschools.org/new-jersey/gloucester-city/673-Cold-Springs-School/,Below average,3.0,COLDSPRINGSSCHOOL,1194MARKETSTREETGLOUCESTERCITYNJ08030,100.0,100.0
Morris,Denville Township K-8 School District,Lakeview Elementary School,27-1090-050,"44 COOPER ROAD, DENVILLE, NJ, 07834",LAKEVIEWELEMENTARYSCHOOL,44COOPERROADDENVILLENJ07834,Lakeview Elementary School,"44 Cooper Road, Denville, NJ, 07834",https://www.greatschools.org/new-jersey/denville/394-Lakeview-Elementary-School/,Above average,8.0,LAKEVIEWELEMENTARYSCHOOL,44COOPERROADDENVILLENJ07834,100.0,100.0
Essex,Newark Public School District,Technology High School,13-3570-056,"223 BROADWAY, NEWARK, NJ, 07102",TECHNOLOGYHIGHSCHOOL,223BROADWAYNEWARKNJ07102,Technology High School,"223 BROADWAY, Newark, NJ, 07102",https://www.greatschools.org/new-jersey/newark/1315-Technology-High-School/,Above average,8.0,TECHNOLOGYHIGHSCHOOL,223BROADWAYNEWARKNJ07102,100.0,100.0
Charters,Unity Charter School,Unity Charter School,80-8050-990,"1 Evergreen Place, MORRISTOWN, NJ, 07960",UNITYCHARTERSCHOOL,1EVERGREENPLACEMORRISTOWNNJ07960,Unity Charter School,"1 Evergreen Place, Morristown, NJ, 07960",https://www.greatschools.org/new-jersey/morristown/3365-Unity-Charter-School/,Average,6.0,UNITYCHARTERSCHOOL,1EVERGREENPLACEMORRISTOWNNJ07960,100.0,100.0
Monmouth,Wall Township Public School District,Old Mill Elementary School,25-5420-077,"2119 OLD MILL ROAD, SEA GIRT, NJ, 08750",OLDMILLELEMENTARYSCHOOL,2119OLDMILLROADSEAGIRTNJ08750,Old Mill Elementary School,"2119 Old Mill Road, Sea Girt, NJ, 08750",https://www.greatschools.org/new-jersey/sea-girt/2081-Old-Mill-Elementary-School/,Above average,8.0,OLDMILLELEMENTARYSCHOOL,2119OLDMILLROADSEAGIRTNJ08750,100.0,100.0
Middlesex,Perth Amboy Public School District,Edward J. Patten Elementary School,23-4090-065,"500 CHARLES STREET, PERTH AMBOY, NJ, 08861",EDWARDJPATTENELEMENTARYSCHOOL,500CHARLESSTREETPERTHAMBOYNJ08861,Edward J Patten Elementary School,"500 Charles Street, Perth Amboy, NJ, 08861",https://www.greatschools.org/new-jersey/perth-amboy/1608-Edward-J--Patten-Elementary-School/,Below average,2.0,EDWARDJPATTENELEMENTARYSCHOOL,500CHARLESSTREETPERTHAMBOYNJ08861,100.0,100.0
Warren,Hackettstown Public School District,Hackettstown Middle School,41-1870-060,"500 WASHINGTON STREET, HACKETTSTOWN, NJ, 07840",HACKETTSTOWNMIDDLESCHOOL,500WASHINGTONSTREETHACKETTSTOWNNJ07840,Hackettstown Middle School,"500 Washington Street, Hackettstown, NJ, 07840",https://www.greatschools.org/new-jersey/hackettstown/705-Hackettstown-Middle-School/,Average,5.0,HACKETTSTOWNMIDDLESCHOOL,500WASHINGTONSTREETHACKETTSTOWNNJ07840,100.0,100.0
Charters,Robert Treat Academy Charter School,Robert Treat Academy Charter School,80-7730-970,"443 CLIFTON AVENUE, NEWARK, NJ, 07104",ROBERTTREATACADEMYCHARTERSCHOOL,443CLIFTONAVENUENEWARKNJ07104,Robert Treat Academy Charter School,"443 Clifton Avenue, Newark, NJ, 07104",https://www.greatschools.org/new-jersey/newark/3340-Robert-Treat-Academy-Charter-School/,Above average,8.0,ROBERTTREATACADEMYCHARTERSCHOOL,443CLIFTONAVENUENEWARKNJ07104,100.0,100.0
Passaic,Clifton Public School District,School #17,31-0900-230,"361 LEXINGTON AVENUE, CLIFTON, NJ, 07011",SCHOOL#17,361LEXINGTONAVENUECLIFTONNJ07011,School #17,"361 Lexington Avenue, Clifton, NJ, 07011",https://www.greatschools.org/new-jersey/clifton/4292-Number-17/,Average,5.0,SCHOOL#17,361LEXINGTONAVENUECLIFTONNJ07011,100.0,100.0
Bergen,Demarest School District,Luther Lee Emerson School,03-1070-050,"15 COLUMBUS ROAD, DEMAREST, NJ, 07627",LUTHERLEEEMERSONSCHOOL,15COLUMBUSROADDEMARESTNJ07627,Luther Lee Emerson School,"15 Columbus Road, Demarest, NJ, 07627",https://www.greatschools.org/new-jersey/demarest/392-Luther-Lee-Emerson-School/,Average,6.0,LUTHERLEEEMERSONSCHOOL,15COLUMBUSROADDEMARESTNJ07627,100.0,100.0
Mercer,Trenton Public School District,Dr. Martin Luther King Middle School,21-5210-305,"401-411 Brunswick Ave, Trenton, NJ, 08638",DRMARTINLUTHERKINGMIDDLESCHOOL,401411BRUNSWICKAVETRENTONNJ08638,Dr. Martin Luther King Middle School,"401-411 Brunswick Ave, Trenton, NJ, 08638",https://www.greatschools.org/new-jersey/trenton/9242-Dr.-Martin-Luther-King-Middle-School/,Below average,2.0,DRMARTINLUTHERKINGMIDDLESCHOOL,401411BRUNSWICKAVETRENTONNJ08638,100.0,100.0
Essex,Newark Public School District,Arts High School,13-3570-010,"550 M  L  KING BLVD, NEWARK, NJ, 07102",ARTSHIGHSCHOOL,550MLKINGBLVDNEWARKNJ07102,Arts High School,"550 M L KING BLVD, Newark, NJ, 07102",https://www.greatschools.org/new-jersey/newark/1316-Arts-High-School/,Below average,3.0,ARTSHIGHSCHOOL,550MLKINGBLVDNEWARKNJ07102,100.0,100.0
Bergen,Palisades Park School District,Palisades Park Jr-Sr High School,03-3910-050,"VETERANS PLAZA, PALISADES PARK, NJ, 07650",PALISADESPARKJRSRHIGHSCHOOL,VETERANSPLAZAPALISADESPARKNJ07650,Palisades Park Jr Sr High School,"Veterans Plaza, Palisades Park, NJ, 07650",https://www.greatschools.org/new-jersey/palisades-park/1486-Palisades-Park-Jr--Sr-High-School/,Below average,3.0,PALISADESPARKJRSRHIGHSCHOOL,VETERANSPLAZAPALISADESPARKNJ07650,100.0,100.0
