gs_school_name,gs_school_address,gs_school_link,rating
Collins Elementary School,"67 Martin Road, Livingston, NJ, 07039",https://www.greatschools.org/new-jersey/livingston/1000-Collins-Elementary-School/,10.0
Harrison Elementary School,"148 North Livingston Avenue, Livingston, NJ, 07039",https://www.greatschools.org/new-jersey/livingston/1001-Harrison-Elementary-School/,10.0
Hillside Elementary School,"98 Belmont Drive, Livingston, NJ, 07039",https://www.greatschools.org/new-jersey/livingston/1002-Hillside-Elementary-School/,10.0
Bergen Academies,"200 Hackensack Avenue, Hackensack, NJ, 07601",https://www.greatschools.org/new-jersey/hackensack/103-Bergen-Academies/,10.0
Technical School Teterboro,"504 Route 46 West, Teterboro, NJ, 07608",https://www.greatschools.org/new-jersey/teterboro/106-Technical-School--Teterboro/,10.0
Betsy Ross Elementary School,"20 Malcolm Road, Mahwah, NJ, 07430",https://www.greatschools.org/new-jersey/mahwah/1074-Betsy-Ross-Elementary-School/,10.0
Asher Holmes Elementary School,"48 MENZEL LANE, Marlboro, NJ, 07751",https://www.greatschools.org/new-jersey/marlboro-township/1115-Asher-Holmes-Elementary-School/,10.0
Mountain View Middle School,"100 DEAN ROAD, Mendham Township, NJ, 07945",https://www.greatschools.org/new-jersey/mendham/1134-Mountain-View-Middle-School/,10.0
Mendham Twp Middle School,"16 WASHINGTON VALLEY ROAD, Mendham Township, NJ, 07926",https://www.greatschools.org/new-jersey/morristown/1137-Mendham-Twp-Middle-School/,10.0
Woodbridge Academy Magnet School,"1 Convery Boulevard, Woodbridge Township, NJ, 07095",https://www.greatschools.org/new-jersey/woodbridge-township/1159-Mdsx-Co-Voc-Health-Biomed/,10.0
Thomas P. Hughes Elementary School,"446 Snyder Avenue, Berkeley Heights, NJ, 07922",https://www.greatschools.org/new-jersey/berkeley-heights/117-Thomas-P.-Hughes-Elementary-School/,10.0
Glenwood Elementary School,"325 TAYLOR ROAD SOUTH, Millburn, NJ, 07078",https://www.greatschools.org/new-jersey/millburn/1184-Glenwood-Elementary-School/,10.0
Wyoming Elementary School,"55 Myrtle Avenue, Millburn, NJ, 07041",https://www.greatschools.org/new-jersey/millburn/1186-Wyoming-Elementary-School/,10.0
Monmouth Beach Elementary School,"7 Hastings Place, Monmouth Beach, NJ, 07750",https://www.greatschools.org/new-jersey/monmouth-beach/1201-Monmouth-Beach-Elementary-School/,10.0
Hilldale Elementary School,"123 KONNER AVENUE, Montville, NJ, 07058",https://www.greatschools.org/new-jersey/montville/1234-Hilldale-Elementary-School/,10.0
Deerfield Elementary School,"302 Central Avenue, Mountainside, NJ, 07092",https://www.greatschools.org/new-jersey/mountainside/1281-Deerfield-Elementary-School/,10.0
Gould Mountain School,"132 GOULD AVE, North Caldwell, NJ, 07006",https://www.greatschools.org/new-jersey/north-caldwell/1410-Gould--Mountain-School/,10.0
Roosevelt Science Technology Engineering and Mathematics (St,"5526 WISTERIA AVE, Pennsauken Township, NJ, 08109",https://www.greatschools.org/new-jersey/pennsauken-township/1602-Roosevelt-Elementary-School/,10.0
Hillview Elementary School,"206 Boulevard, Pequannock Township, NJ, 07444",https://www.greatschools.org/new-jersey/pequannock-township/1604-Hillview-Elementary-School/,10.0
Stephen J. Gerace Elementary School,"59 Boulevard, Pequannock Township, NJ, 07440",https://www.greatschools.org/new-jersey/pequannock-township/1607-Stephen-J.-Gerace-Elementary-School/,10.0
Three Bridges Elementary School,"480 MAIN STREET, Readington Township, NJ, 08887",https://www.greatschools.org/new-jersey/readington-township/1718-Three-Bridges-Elementary-School/,10.0
Somerville Elementary School,"45 SOUTH PLEASANT AVE, Ridgewood, NJ, 07451",https://www.greatschools.org/new-jersey/ridgewood/1736-Somerville-Elementary-School/,10.0
Orchard Elementary School,"230 DEMAREST ST, Ridgewood, NJ, 07451",https://www.greatschools.org/new-jersey/ridgewood/1738-Orchard-Elementary-School/,10.0
Willard Elementary School,"601 MORNINGSIDE RD, Ridgewood, NJ, 07451",https://www.greatschools.org/new-jersey/ridgewood/1739-Willard-Elementary-School/,10.0
Roosevelt Elementary School,"711 Summit Avenue, River Edge, NJ, 07661",https://www.greatschools.org/new-jersey/river-edge/1745-Roosevelt-Elementary-School/,10.0
Forrestdale Middle School,"60 Forrest Avenue, Rumson, NJ, 07760",https://www.greatschools.org/new-jersey/rumson/1784-Forrestdale-Middle-School/,10.0
Wandell Elementary School,"97 East Allendale Road, Saddle River, NJ, 07458",https://www.greatschools.org/new-jersey/saddle-river/1800-Wandell-Elementary-School/,10.0
