county_name,district_name,school_name,county_district_school_code,school_address,name_enc,address_enc,gs_school_name,gs_school_address,gs_school_link,fuzzy_name_score,fuzzy_address_score
Middlesex,Edison Township School District,Edison High School,23-1290-050,"50 BOULEVARD OF THE EAGLES, EDISON, NJ, 08817",EDISONHIGHSCHOOL,50BOULEVARDOFTHEEAGLESEDISONNJ08817,Edison High School,"50 Boulevard of the Eagles, Edison, NJ, 08817",https://www.greatschools.org/new-jersey/edison/477-Edison-High-School/,100.0,100.0
Essex,Fairfield Public Schools School District,Stevenson,13-1465-005,"15 KNOLL ROAD, FAIRFIELD, NJ, 07004",ADLAIESTEVENSONELEMENTARYSCHOOL,15KNOLLROADFAIRFIELDNJ07004,Adlai E. Stevenson Elementary School,"15 Knoll Road, Fairfield, NJ, 07004",https://www.greatschools.org/new-jersey/fairfield/578-Adlai-E.-Stevenson-Elementary-School/,100.0,100.0
Middlesex,Metuchen Public School District,Mildred B. Moss Elementary School,23-3120-090,"16 SIMPSON PLACE, METUCHEN, NJ, 08840",MILDREDBMOSSELEMENTARYSCHOOL,16SIMPSONPLACEMETUCHENNJ08840,Mildred B. Moss Elementary School,"16 Simpson Place, Metuchen, NJ, 08840",https://www.greatschools.org/new-jersey/metuchen/1145-Mildred-B.-Moss-Elementary-School/,100.0,100.0
Passaic,Wayne Township Public School District,Pines Lake Elementary School,31-5570-120,"511 PINES LAKE DRIVE, WAYNE, NJ, 07470",PINESLAKEELEMENTARYSCHOOL,511PINESLAKEDRIVEWAYNENJ07470,Pines Lake Elementary School,"511 Pines Lake Drive, Wayne, NJ, 07470",https://www.greatschools.org/new-jersey/wayne/2131-Pines-Lake-Elementary-School/,100.0,100.0
Bergen,Waldwick School District,Crescent Elementary School,03-5410-040,"165 CRESCENT AVENUE, WALDWICK, NJ, 07463",CRESCENTELEMENTARYSCHOOL,165CRESCENTAVENUEWALDWICKNJ07463,Crescent Elementary School,"165 Crescent Avenue, Waldwick, NJ, 07463",https://www.greatschools.org/new-jersey/waldwick/2073-Crescent-Elementary-School/,100.0,100.0
Monmouth,Red Bank Borough Public School District,Red Bank Primary School,25-4360-075,"222 RIVER STREET, RED  BANK, NJ, 07701",REDBANKPRIMARYSCHOOL,222RIVERSTREETREDBANKNJ07701,Red Bank Primary School,"222 RIVER STREET, Red Bank, NJ, 07701",https://www.greatschools.org/new-jersey/red-bank/1721-Red-Bank-Primary-School/,100.0,100.0
Salem,Pittsgrove Township School District,Elmer Elementary School,33-4150-080,"207 Front Street, Elmer, NJ, 08318",ELMERELEMENTARYSCHOOL,207FRONTSTREETELMERNJ08318,Elmer Elementary School,"207 Front Street, Elmer, NJ, 08318",https://www.greatschools.org/new-jersey/elmer/7102-Elmer-Elementary-School/,100.0,100.0
Burlington,Shamong Township School District,Indian Mills Elementary School,05-4740-050,"112 INDIAN MILLS ROAD, SHAMONG, NJ, 08088",INDIANMILLSELEMENTARYSCHOOL,112INDIANMILLSROADSHAMONGNJ08088,Indian Mills Elementary School,"112 Indian Mills Road, Shamong, NJ, 08088",https://www.greatschools.org/new-jersey/shamong/1831-Indian-Mills-Elementary-School/,100.0,100.0
Bergen,Closter Public School District,Tenakill Middle School,03-0930-060,"275 High Street, CLOSTER, NJ, 07624",TENAKILLMIDDLESCHOOL,275HIGHSTREETCLOSTERNJ07624,Tenakill Middle School,"275 High Street, Closter, NJ, 07624",https://www.greatschools.org/new-jersey/closter/355-Tenakill-Middle-School/,100.0,100.0
Hudson,Weehawken Public School District,Weehawken High School,17-5580-050,"53 LIBERTY PLACE, WEEHAWKEN, NJ, 07086",WEEHAWKENHIGHSCHOOL,53LIBERTYPLACEWEEHAWKENNJ07086,Weehawken High School,"53 Liberty Place, Weehawken, NJ, 07086",https://www.greatschools.org/new-jersey/weehawken/2136-Weehawken-High-School/,100.0,100.0
Camden,Gloucester City Public School District,Cold Springs School,07-1770-160,"1194 MARKET STREET, GLOUCESTER CITY, NJ, 08030",COLDSPRINGSSCHOOL,1194MARKETSTREETGLOUCESTERCITYNJ08030,Cold Springs School,"1194 Market Street, Gloucester City, NJ, 08030",https://www.greatschools.org/new-jersey/gloucester-city/673-Cold-Springs-School/,100.0,100.0
Morris,Denville Township K-8 School District,Lakeview Elementary School,27-1090-050,"44 COOPER ROAD, DENVILLE, NJ, 07834",LAKEVIEWELEMENTARYSCHOOL,44COOPERROADDENVILLENJ07834,Lakeview Elementary School,"44 Cooper Road, Denville, NJ, 07834",https://www.greatschools.org/new-jersey/denville/394-Lakeview-Elementary-School/,100.0,100.0
Monmouth,Wall Township Public School District,Old Mill Elementary School,25-5420-077,"2119 OLD MILL ROAD, SEA GIRT, NJ, 08750",OLDMILLELEMENTARYSCHOOL,2119OLDMILLROADSEAGIRTNJ08750,Old Mill Elementary School,"2119 Old Mill Road, Sea Girt, NJ, 08750",https://www.greatschools.org/new-jersey/sea-girt/2081-Old-Mill-Elementary-School/,100.0,100.0
Union,Township of Union School District,Hannah Caldwell Elementary,39-5290-083,"1120 COMMERCE AVENUE, UNION, NJ, 07083",HANNAHCALDWELLELEMENTARYSCHOOL,1120COMMERCEAVENUEUNIONNJ07083,Hannah Caldwell Elementary School,"1120 Commerce Avenue, Union, NJ, 07083",https://www.greatschools.org/new-jersey/union/2013-Hannah-Caldwell-Elementary-School/,100.0,100.0
Union,Township of Union School District,Connecticut Farms Elementary,39-5290-090,"875 STUYVESANT AVENUE, UNION, NJ, 07083",CONNECTICUTFARMSELEMENTARYSCHOOL,875STUYVESANTAVENUEUNIONNJ07083,Connecticut Farms Elementary School,"875 Stuyvesant Avenue, Union, NJ, 07083",https://www.greatschools.org/new-jersey/union/2019-Connecticut-Farms-Elementary-School/,100.0,100.0
Union,Roselle Public Schools,Kindergarten Success Academy,39-4540-300,"150 EAST 3RD AVENUE, ROSELLE, NJ, 07203",KINDERGARTENSUCCESSACADEMY,150EAST3RDAVENUEROSELLENJ07203,Kindergarten Success Academy,"150 East 3rd Avenue, Roselle, NJ, 07203",https://www.greatschools.org/new-jersey/roselle/7098-Kindergarten-Success-Academy/,100.0,100.0
Passaic,Clifton Public School District,Clifton Early Learner Academies,31-0900-301,"290 Brighton Road, Clifton, NJ, 07012",CLIFTONEARLYLEARNERACADEMIES,290BRIGHTONROADCLIFTONNJ07012,Clifton Early Learner Academies,"290 Brighton Road, Clifton, NJ, 07012",https://www.greatschools.org/new-jersey/clifton/8917-Clifton-Early-Learner-Academies/,100.0,100.0
Camden,Camden City School District,Harry C. Sharp Elementary School,07-0680-300,"928 North 32nd Street, CAMDEN, NJ, 08105",SHARPELEMENTARYSCHOOL,928NORTH32NDSTREETCAMDENNJ08105,Sharp Elementary School,"928 North 32nd Street, Camden, NJ, 08105",https://www.greatschools.org/new-jersey/camden/260-Sharp-Elementary-School/,100.0,100.0
Essex,East Orange School District,East Orange STEM Academy High School,13-1210-030,"129 RENSHAW AVENUE, EAST ORANGE, NJ, 07017",EASTORANGESTEMACADEMY,129RENSHAWAVENUEEASTORANGENJ07017,East Orange STEM Academy,"129 Renshaw Avenue, East Orange, NJ, 07017",https://www.greatschools.org/new-jersey/east-orange/441-East-Orange-Campus-9/,100.0,100.0
Middlesex,Perth Amboy Public School District,Edward J. Patten Elementary School,23-4090-065,"500 CHARLES STREET, PERTH AMBOY, NJ, 08861",EDWARDJPATTENELEMENTARYSCHOOL,500CHARLESSTREETPERTHAMBOYNJ08861,Edward J Patten Elementary School,"500 Charles Street, Perth Amboy, NJ, 08861",https://www.greatschools.org/new-jersey/perth-amboy/1608-Edward-J--Patten-Elementary-School/,100.0,100.0
Charters,Robert Treat Academy Charter School,Robert Treat Academy Charter School,80-7730-970,"443 CLIFTON AVENUE, NEWARK, NJ, 07104",ROBERTTREATACADEMYCHARTERSCHOOL,443CLIFTONAVENUENEWARKNJ07104,Robert Treat Academy Charter School,"443 Clifton Avenue, Newark, NJ, 07104",https://www.greatschools.org/new-jersey/newark/3340-Robert-Treat-Academy-Charter-School/,100.0,100.0
Essex,Newark Public School District,Newark innovation Academy,13-3570-003,"190 MUHAMMAD ALI AVENUE, NEWARK, NJ, 07108",NEWARKINNOVATIONACADEMY,190MUHAMMADALIAVENUENEWARKNJ07108,Newark Innovation Academy,"190 Muhammad Ali Avenue, Newark, NJ, 07108",https://www.greatschools.org/new-jersey/newark/7081-Newark-Innovation-Academy/,100.0,100.0
Bergen,Demarest School District,Luther Lee Emerson School,03-1070-050,"15 COLUMBUS ROAD, DEMAREST, NJ, 07627",LUTHERLEEEMERSONSCHOOL,15COLUMBUSROADDEMARESTNJ07627,Luther Lee Emerson School,"15 Columbus Road, Demarest, NJ, 07627",https://www.greatschools.org/new-jersey/demarest/392-Luther-Lee-Emerson-School/,100.0,100.0
Essex,Newark Public School District,Arts High School,13-3570-010,"550 M  L  KING BLVD, NEWARK, NJ, 07102",ARTSHIGHSCHOOL,550MLKINGBLVDNEWARKNJ07102,Arts High School,"550 M L KING BLVD, Newark, NJ, 07102",https://www.greatschools.org/new-jersey/newark/1316-Arts-High-School/,100.0,100.0
Bergen,Palisades Park School District,Palisades Park Jr-Sr High School,03-3910-050,"VETERANS PLAZA, PALISADES PARK, NJ, 07650",PALISADESPARKJRSRHIGHSCHOOL,VETERANSPLAZAPALISADESPARKNJ07650,Palisades Park Jr Sr High School,"Veterans Plaza, Palisades Park, NJ, 07650",https://www.greatschools.org/new-jersey/palisades-park/1486-Palisades-Park-Jr--Sr-High-School/,100.0,100.0
Union,Union County Educational Services Commission,Crossroads School,39-5245-050,"45 CARDINAL DRIVE, WESTFIELD, NJ, 07090",CROSSROADSSCHOOL,45CARDINALDRIVEWESTFIELDNJ07090,Crossroads School,"45 Cardinal Drive, Westfield, NJ, 07090",https://www.greatschools.org/new-jersey/westfield/4166-Crossroads-School/,100.0,100.0
Bergen,Fair Lawn Public School District,Lyncrest Elementary School,03-1450-100,"9-04 MORLOT AVE, FAIR LAWN, NJ, 07410",LYNCRESTELEMENTARYSCHOOL,904MORLOTAVEFAIRLAWNNJ07410,Lyncrest Elementary School,"9-04 MORLOT AVE, Fair Lawn, NJ, 07410",https://www.greatschools.org/new-jersey/fair-lawn/574-Lyncrest-Elementary-School/,100.0,100.0
Charters,Creativity CoLaboratory Charter School,Creativity CoLaboratory Charter School,80-7897-923,"457 Shirley Road, Elmer, NJ, 08318",CREATIVITYCOLABORATORYCHARTERSCHOOL,457SHIRLEYROADELMERNJ08318,Creativity Colaboratory Charter School,"457 Shirley Road, Elmer, NJ, 08318",https://www.greatschools.org/new-jersey/elmer/9216-Creativity-Colaboratory-Charter-School/,100.0,100.0
Passaic,Clifton Public School District,School #2,31-0900-090,"1270 VAN HOUTEN AVENUE, CLIFTON, NJ, 07013",SCHOOL#2,1270VANHOUTENAVENUECLIFTONNJ07013,School #2,"1270 Van Houten Avenue, Clifton, NJ, 07013",https://www.greatschools.org/new-jersey/clifton/338-Number-2-Elementary-School/,100.0,100.0
Bergen,East Rutherford School District,McKenzie School,03-1230-080,"125 CARLTON AVENUE, EAST RUTHERFORD, NJ, 07073",MCKENZIESCHOOL,125CARLTONAVENUEEASTRUTHERFORDNJ07073,Mckenzie School,"125 Carlton Avenue, East Rutherford, NJ, 07073",https://www.greatschools.org/new-jersey/east-rutherford/3486-Mckenzie-School/,100.0,100.0
Charters,Elysian Charter School,Elysian Charter School of Hoboken,80-6420-925,"1460 GARDEN STREET, HOBOKEN, NJ, 07030",ELYSIANCHARTERSCHOOLOFHOBOKEN,1460GARDENSTREETHOBOKENNJ07030,Elysian Charter School Of Hoboken,"1460 Garden Street, Hoboken, NJ, 07030",https://www.greatschools.org/new-jersey/hoboken/3344-Elysian-Cs-Of-Hoboken/,100.0,100.0
Morris,Boonton Town School District,Boonton High School,27-0450-020,"306 LATHROP AVENUE, BOONTON, NJ, 07005",BOONTONHIGHSCHOOL,306LATHROPAVENUEBOONTONNJ07005,Boonton High School,"306 Lathrop Avenue, Boonton, NJ, 07005",https://www.greatschools.org/new-jersey/boonton/157-Boonton-High-School/,100.0,100.0
Charters,Soaraing Heights Charter School,Soaring Heights Charter School,80-7830-980,"1 ROMAR AVENUE, JERSEY CITY, NJ, 07305",SOARINGHEIGHTSCHARTERSCHOOL,1ROMARAVENUEJERSEYCITYNJ07305,Soaring Heights Charter School,"1 Romar Avenue, Jersey City, NJ, 07305",https://www.greatschools.org/new-jersey/jersey-city/3351-Soaring-Heights-Charter-School/,100.0,100.0
Passaic,Paterson Public School District,International High School,31-4010-035,"200 Grand Street, PATERSON, NJ, 07501",INTERNATIONALHIGHSCHOOL,200GRANDSTREETPATERSONNJ07501,International High School,"200 Grand Street, Paterson, NJ, 07501",https://www.greatschools.org/new-jersey/paterson/4533-International-High-School/,100.0,100.0
Monmouth,Holmdel Township School District,Holmdel High School,25-2230-020,"36 CRAWFORDS CORNER ROAD, HOLMDEL, NJ, 07733",HOLMDELHIGHSCHOOL,36CRAWFORDSCORNERROADHOLMDELNJ07733,Holmdel High School,"36 Crawfords Corner Road, Holmdel, NJ, 07733",https://www.greatschools.org/new-jersey/holmdel/813-Holmdel-High-School/,100.0,100.0
