,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023
0,APIBCoursesOffered,APIBCoursesOffered,4YrGraduationCohortProfile,4YrGraduationCohortProfile,4YrGraduationCohortProfile,4YrGraduationCohortProfile
1,APIBCourseworkPartPerf,APIBCourseworkPartPerf,5YrGraduationCohortProfile,5YrGraduationCohortProfile,5YrGraduationCohortProfile,5YrGraduationCohortProfile
2,AccountabilityIndicator,AccountabilitySummary,APIBCoursesOffered,6YrGraduationCohortProfile,6YrGraduationCohortProfile,6YrGraduationCohortProfile
3,AccountabilitySummary,AdministratorsExperience,APIBCourseworkPartPerf,APIBCoursesOffered,APIBCoursesOffered,APIBCoursesOffered
4,AdministratorsExperience,AlternateAssessmentParticipatio,AccountabilityGraduationRates,APIBCourseworkPartPerf,APIBCourseworkPartPerf,APIBCourseworkPartPerf
5,AlternateAssessmentParticipatio,CTEParticipationByStudentGroup,AdministratorsExperience,APIBDualEnrPartByStudentGrp,APIBDualEnrPartByStudentGrp,APIBDualEnrPartByStudentGrp
6,CTE_SLEParticipation,CTE_SLEParticipation,CTEParticipationByStudentGroup,AccountabilityGraduationRates,AccountabilityGraduationRates,AccountabilityGraduationRates
7,ChronicAbsByGrade,ChronicAbsByGrade,CTE_SLEParticipation,AdministratorsExperience,AccountabilityIndScoresSummativ,AccountabilityIndScoresSummativ
8,ChronicAbsenteeism,ChronicAbsenteeism,ComputerScienceCourseParticipat,AlternateAssessmentParticipatio,AccountabilitySummary,AccountabilitySummary
9,CompTargeted,ComputerScienceCourseParticipat,DisciplinaryRemovals,Apprenticeship,AdministratorsExperience,AdministratorsExperience
10,DaysAbsent,DaysAbsent,DropoutRateTrends,CTEParticipationByStudentGroup,AlternateAssessmentParticipatio,AlternateAssessmentParticipatio
11,DeviceRatios,DeviceRatios,ELAMathPerformanceTrends,CTE_SLEParticipation,Apprenticeship,Apprenticeship
12,DisciplinaryRemovals,DisciplinaryRemovals,ESSAAccountabilityProgress,ChronicAbsenteeism,CTEParticipationByStudentGroup,CTEParticipationByStudentGroup
13,DropoutRateTrends,DropoutRateTrends,ESSAAccountabilityStatus,ChronicAbsenteeismByGrade,CTE_SLEParticipation,CTE_SLEParticipation
14,ELALiteracyParticipationPerform,ELALiteracyParticipationPerform,EnrollmentByHomeLanguage,ComputerScienceCourseParticipat,ChronicAbsenteeism,ChronicAbsenteeism
15,ELALiteracyPerformanceByGrade,ELALiteracyPerformanceByGrade,EnrollmentByRacialEthnicGroup,DaysAbsent,ChronicAbsenteeismByGrade,ChronicAbsenteeismByGrade
16,ELAPerformanceTrends,ELAMathPerformanceTrends,EnrollmentTrendsByStudentGroup,DeviceRatios,ComputerScienceCourseParticipat,ComputerScienceCourseParticipat
17,EnglishLanguageProficiencyTest,ELAPerformanceTrends,EnrollmentTrendsFullSharedTime,DisciplinaryRemovals,DaysAbsent,DaysAbsent
18,EnglishLanguageProgress,ESSAAccountabilityProgress,EnrollmentTrendsbyGrade,DropoutRateTrends,DeviceRatios,DeviceRatios
19,EnrollmentByHomeLanguage,ESSAAccountabilityStatus,GraduationPathways,ELAMathPerformanceTrends,DisciplinaryRemovals,DisciplinaryRemovals
20,EnrollmentByRacialEthnicGroup,EnglishLanguageProficiencyTest,GraduatonRateTrendsProgress,ESSAAccountabilityProgress,DropoutRateTrends,DropoutRateTrends
21,EnrollmentTrendsByStudentGroup,EnglishLanguageProgress,HIBInvestigations,ESSAAccountabilityStatus,ELAMathPerformanceTrends,ELAMathPerformanceTrends
22,EnrollmentTrendsFullSharedTime,EnrollmentByHomeLanguage,HIBInvestigations1,EnglishLangParticipationPerform,ELAParticipationPerformance,ELAParticipationPerformance
23,EnrollmentTrendsbyGrade,EnrollmentByRacialEthnicGroup,Header and Contact,EnrollmentByHomeLanguage,ELAPerformanceByGrade,ELAPerformanceByGrade
24,FacultyAttendance,EnrollmentTrendsByStudentGroup,Important 2019-2020 Notes,EnrollmentByRacialEthnicGroup,ELAPerformanceTrends,ELAPerformanceTrends
25,GraduationPathways,EnrollmentTrendsFullSharedTime,IndustryValuedCredentialsEarned,EnrollmentTrendsByStudentGroup,ESSAAccountabilityProgress,ESSAAccountabilityProgress
26,GraduationRateTrends,EnrollmentTrendsbyGrade,MathCourseParticipation,EnrollmentTrendsFullSharedTime,ESSAAccountabilityStatus,ESSAAccountabilityStatus
27,GraduationRates,FacultyAttendance,Narrative,EnrollmentTrendsbyGrade,EnglishLangParticipationPerform,EnglishLangParticipationPerform
28,HIBInvestigations,GraduationPathways,PSAT-SAT-ACTParticipation,FederalGraduationRates,EnglishLangProgressToProficienc,EnglishLangProgressToProficienc
29,Header and Contact,GraduationRates,PSAT-SAT-ACTPerformance,GraduationPathways,EnrollmentByHomeLanguage,EnrollmentByHomeLanguage
30,IndustryValuedCredentialsEarned,GraduatonRateTrendsProgress,PoliceNotifications,GraduatonRateTrendsProgress,EnrollmentByRacialEthnicGroup,EnrollmentByRacialEthnicGroup
31,MathCourseParticipation,HIBInvestigations,PostSecondaryEnrRateSummary,HIBInvestigations,EnrollmentTrendsByStudentGroup,EnrollmentTrendsByStudentGroup
32,MathParticipationPerform,Header and Contact,PostsecondaryEnrRates16mos,Header and Contact,EnrollmentTrendsFullSharedTime,EnrollmentTrendsFullSharedTime
