county_name,district_name,school_name,street_address,city,state,zipcode,zipcode_extn,county_district_school_code
Middlesex,Edison Township School District,Edison High School,50 BOULEVARD OF THE EAGLES,EDISON,NJ,08817,,23-1290-050
Burlington,Cinnaminson Township School District,Eleanor Rush Intermediate School,1200 WYNWOOD DRIVE,CINNAMINSON,NJ,08077,2404,05-0840-060
Bergen,South Hackensack School District,Memorial School,DYER AVENUE,SOUTH HACKENSACK,NJ,07606,1537,03-4870-050
Essex,Fairfield Public Schools School District,Stevenson,15 KNOLL ROAD,FAIRFIELD,NJ,07004,,13-1465-005
Hunterdon,North Hunterdon-Voorhees Regional High School District,North Hunterdon High School,1445 State Route 31,Annandale,NJ,08801,,19-3660-050
Middlesex,East Brunswick Township School District,Central Elementary School,371 CRANBURY ROAD,EAST BRUNSWICK,NJ,08816,,23-1170-070
Passaic,Bloomingdale School District,Martha B. Day Elementary School,225 RAFKIND ROAD,BLOOMINGDALE,NJ,07403,,31-0420-020
Ocean,Brick Township Public School District,Lanes Mill Elementary School,1891 LANES MILL RD,BRICK,NJ,08724,1445,29-0530-045
Burlington,Florence Township School District,Roebling Elementary School,1330 HORNBERGER AVE,ROEBLING,NJ,08554,,05-1520-070
Camden,Cherry Hill School District,Bret Harte Elementary School,1909 Queen Anne Dr.,CHERRY HILL,NJ,08003,2843,07-0800-068
Cumberland,Millville School District,Lakeside Middle School,2 N  SHARP ST,MILLVILLE,NJ,08332,,11-3230-077
Middlesex,East Brunswick Township School District,Memorial Elementary School,14 INNES ROAD,E BRUNSWICK,NJ,08816,,23-1170-120
Burlington,Mount Holly Township Public School District,Gertrude C. Folwell Elementary School,455 JACKSONVILLE RD,MOUNT HOLLY,NJ,08060,9622,05-3430-050
Monmouth,Middletown Township Public School District,Bayshore Middle School,834 LEONARDVILLE ROAD,LEONARDO,NJ,07737,1796,25-3160-055
Middlesex,Edison Township School District,Thomas Jefferson Middle School,450 DIVISION STREET,EDISON,NJ,08817,,23-1290-060
Essex,Newark Public School District,Branch Brook School,228 RIDGE ST,NEWARK,NJ,07104,1204,13-3570-270
Morris,Rockaway Borough School District,Lincoln Elementary School,37 KELLER AVENUE,ROCKAWAY,NJ,07866,3921,27-4480-060
Burlington,Evesham Township School District,Marlton Elementary,190 TOMLINSON MILL ROAD,MARLTON,NJ,08053,,05-1420-058
Monmouth,Union Beach Public School District,Memorial School,221 MORNINGSIDE AVENUE,UNION BEACH,NJ,07735,3098,25-5230-050
Atlantic,Galloway Township Public Schools,Arthur Rann Elementary School,515 S EIGHTH AVE,GALLOWAY,NJ,08205,,01-1690-015
Monmouth,Matawan-Aberdeen Regional School District,Cambridge Park Elementary School,One Crest Way,Aberdeen,NJ,07747,,25-3040-040
Morris,Dover Public School District,Dover Middle School,302 EAST MCFARLAN STREET,DOVER,NJ,07801,,27-1110-065
Cumberland,Bridgeton City School District,Bridgeton High School,111 N WEST AVENUE,BRIDGETON,NJ,08302,,11-0540-020
Middlesex,Middlesex County Vocational and Technical School District,Middlesex County Voc Academy Math Science &Engineering Technologies,100 TECHNOLOGY DRIVE,EDISON,NJ,08837,,23-3150-010
Union,Plainfield Public School District,Jefferson Elementary School,1700 W. FRONT ST,PLAINFIELD,NJ,07063,,39-4160-150
Hunterdon,Clinton Township School District,Clinton Township Middle School,34 GRAYROCK ROAD,CLINTON,NJ,08809,,19-0920-050
Monmouth,Manalapan-Englishtown Regional Schools School District,Clark Mills School,34 GORDONS CORNER ROAD,MANALAPAN,NJ,07726,3798,25-2920-050
Bergen,Tenafly Public School District,J Spencer Smith School,101 DOWNEY DRIVE,TENAFLY,NJ,07670,,03-5160-070
Middlesex,Metuchen Public School District,Mildred B. Moss Elementary School,16 SIMPSON PLACE,METUCHEN,NJ,08840,,23-3120-090
Passaic,Wayne Township Public School District,Pines Lake Elementary School,511 PINES LAKE DRIVE,WAYNE,NJ,07470,,31-5570-120
Essex,Newark Public School District,Lincoln,87 RICHELIEU TER,NEWARK,NJ,07106,2419,13-3570-490
Hudson,Bayonne School District,Bayonne Alternative High School,669 Avenue A,Bayonne,NJ,07002,,17-0220-010
Mercer,Hamilton Township Public School District,Kisthardt Elementary School,215 HARCOURT DRIVE,HAMILTON,NJ,08610,4213,21-1950-150
Ocean,Brick Township Public School District,Brick Township High School,346 CHAMBERS BRIDGE RD,BRICK TOWN,NJ,08723,2804,29-0530-020
Essex,East Orange School District,J. Garfield Jackson Sr. Academy,106 PROSPECT STREET,EAST ORANGE,NJ,07017,2203,13-1210-170
Bergen,Waldwick School District,Crescent Elementary School,165 CRESCENT AVENUE,WALDWICK,NJ,07463,,03-5410-040
Bergen,Garfield Public School District,Garfield High School,500 PALISADE AVE,GARFIELD,NJ,07026,2637,03-1700-050
Monmouth,Red Bank Borough Public School District,Red Bank Primary School,222 RIVER STREET,RED  BANK,NJ,07701,1397,25-4360-075
Passaic,Pompton Lakes School District,Lakeside School,316 LAKESIDE AVENUE,POMPTON LAKES,NJ,07442,1299,31-4230-055
Salem,Pittsgrove Township School District,Elmer Elementary School,207 Front Street,Elmer,NJ,08318,,33-4150-080
Camden,Voorhees Township School District,Voorhees Middle School,1000 HOLLY OAK DR,VOORHEES,NJ,08043,,07-5400-100
Hunterdon,South Hunterdon Regional School District,South Hunterdon Regional High School,301 Mt Airy Harbourton Rd,Lambertville,NJ,08530,,19-1376-050
Essex,Belleville Public School District,Sandy Lane Nursery School,-,- - -,NJ,,,13-0250-301
Burlington,Shamong Township School District,Indian Mills Elementary School,112 INDIAN MILLS ROAD,SHAMONG,NJ,08088,9512,05-4740-050
Gloucester,Mantua Township School District,Sewell Elementary School,40 MCANALLY DR,SEWELL,NJ,08080,,15-2990-050
Essex,East Orange School District,Cicely L. Tyson Community Elementary School,45 North Arlington Street,EAST ORANGE,NJ,07017,,13-1210-140
Bergen,Closter Public School District,Tenakill Middle School,275 High Street,CLOSTER,NJ,07624,1809,03-0930-060
Charters,College Achieve Paterson Charter School,College Achieve Paterson Charter School,21 Market Street,Paterson,NJ,07501,,80-7892-909
Hudson,Jersey City Public Schools,Dr. Charles P. DeFuccio School,214 PLAINFIELD AVE,JERSEY CITY,NJ,07306,7006,17-2390-330
Ocean,Toms River Regional School District,Toms River High School North,1245 OLD FREEHOLD ROAD,TOMS RIVER,NJ,08753,1304,29-5190-040
