grade06,grade07,grade08,grade09,grade10,grade11,grade12,county_district_school_code,economically_disadvantaged,english_learners,female,homeless,male,migrant,military_connected,in_foster_care,with_disabilities,american_indian_or_alaska_native,asian,black_or_african_american,hispanic,native_hawaiian_or_pacific_islander,two_or_more_races,white,academic_year
96.0,95.0,80.0,0.0,0.0,0.0,0.0,01-0010-050,45.1,4.8,47.2,1.1,52.8,0.0,0.3,0.0,11.4,0.0,3.2,19.9,18.0,0.0,5.6,53.3,2018-2019
0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-0010-060,48.2,9.0,45.5,0.6,54.5,0.0,0.6,1.4,17.8,0.0,7.8,14.1,20.2,0.2,3.9,53.9,2018-2019
0.0,0.0,0.0,455.0,509.0,369.0,446.0,01-0110-010,79.4,9.7,46.7,1.7,53.3,0.0,0.0,0.3,18.0,0.0,21.6,27.8,36.2,0.9,0.5,13.0,2018-2019
95.0,84.0,78.0,0.0,0.0,0.0,0.0,01-0110-030,96.7,29.2,51.8,0.7,48.2,0.0,0.0,0.1,14.1,0.0,23.2,4.4,68.1,2.1,0.8,1.5,2018-2019
36.0,51.0,28.0,0.0,0.0,0.0,0.0,01-0110-050,95.7,12.1,47.2,0.8,52.8,0.0,0.0,0.0,6.5,0.3,28.3,16.7,46.9,0.5,1.9,5.4,2018-2019
72.0,75.0,66.0,0.0,0.0,0.0,0.0,01-0110-060,97.9,41.4,54.5,1.9,45.5,0.0,0.0,0.0,11.0,0.0,22.7,4.1,70.8,0.9,0.7,0.7,2018-2019
59.0,54.0,56.0,0.0,0.0,0.0,0.0,01-0110-070,98.8,7.7,51.9,3.7,48.1,0.0,0.0,0.7,16.4,0.0,3.7,69.8,22.2,0.3,2.8,1.2,2018-2019
46.0,59.0,42.0,0.0,0.0,0.0,0.0,01-0110-080,98.1,8.1,48.1,1.9,51.9,0.0,0.0,0.7,13.9,0.0,1.3,57.2,39.4,0.2,1.5,0.4,2018-2019
60.0,55.0,58.0,0.0,0.0,0.0,0.0,01-0110-100,95.1,12.3,52.1,2.5,47.9,0.0,0.0,0.2,14.8,0.0,4.9,60.2,32.4,0.2,1.4,0.9,2018-2019
66.0,74.0,63.0,0.0,0.0,0.0,0.0,01-0110-120,88.6,26.6,48.3,1.6,51.7,0.0,0.0,0.6,9.6,0.1,31.4,13.2,50.1,1.3,1.0,2.8,2018-2019
0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-0110-130,94.0,0.0,26.9,1.5,73.1,0.0,0.0,1.5,70.1,0.0,7.5,52.2,34.3,0.0,3.0,3.0,2018-2019
58.0,60.0,64.0,0.0,0.0,0.0,0.0,01-0110-140,97.1,4.8,46.6,3.3,53.4,0.0,0.0,0.3,15.9,0.0,1.6,70.3,22.4,0.0,3.7,2.1,2018-2019
0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-0110-300,94.5,44.7,47.0,3.2,53.0,0.0,0.0,0.0,6.1,0.0,22.8,8.1,66.3,0.0,2.3,0.6,2018-2019
0.0,0.0,0.0,430.0,404.0,386.0,354.0,01-0120-010,60.7,0.0,56.0,0.4,44.0,0.0,1.7,0.1,10.3,0.2,5.5,19.6,40.1,0.6,2.2,31.9,2018-2019
0.0,0.0,0.0,3.0,20.0,17.0,10.0,01-0120-300,82.0,0.0,46.0,8.0,54.0,0.0,0.0,0.0,10.0,0.0,0.0,66.0,28.0,0.0,2.0,4.0,2018-2019
18.0,22.0,21.0,0.0,0.0,0.0,0.0,01-0125-030,40.8,0.0,27.4,1.5,72.6,0.0,0.0,3.5,95.0,0.0,3.5,27.4,33.3,2.0,2.5,31.3,2018-2019
0.0,0.0,0.0,23.0,15.0,11.0,85.0,01-0125-060,32.1,0.0,26.3,0.7,73.7,0.0,0.0,1.5,99.3,0.7,5.8,22.6,27.7,0.0,1.5,41.6,2018-2019
0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-0570-010,46.6,4.2,52.4,0.7,47.6,0.0,4.2,2.3,18.6,0.0,12.1,3.9,14.3,0.0,0.0,69.7,2018-2019
47.0,58.0,73.0,0.0,0.0,0.0,0.0,01-0570-030,45.9,0.8,46.7,1.6,53.3,0.0,2.5,0.4,12.7,0.0,10.2,8.2,10.2,0.0,0.0,71.3,2018-2019
0.0,0.0,0.0,148.0,118.0,137.0,143.0,01-0590-025,50.9,1.6,46.0,2.7,54.0,0.2,0.0,0.4,18.7,0.0,1.3,16.1,26.4,0.0,0.5,55.7,2018-2019
113.0,145.0,117.0,0.0,0.0,0.0,0.0,01-0590-030,59.5,2.9,52.0,2.7,48.0,0.3,0.0,0.5,21.1,0.0,1.1,12.5,35.2,0.0,0.0,51.2,2018-2019
0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-0590-045,60.5,0.0,49.6,3.9,50.4,0.8,0.8,2.3,25.6,0.0,0.8,19.4,38.0,0.0,0.0,41.9,2018-2019
0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-0590-055,44.1,6.3,45.1,2.1,54.9,0.0,0.0,1.0,22.2,0.0,1.7,10.1,25.7,0.7,1.0,60.8,2018-2019
0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-0590-300,58.8,3.3,49.7,3.9,50.3,1.3,0.7,1.0,22.5,0.0,0.7,18.3,29.1,0.0,0.3,51.6,2018-2019
0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-1300-020,68.9,4.8,46.9,1.8,53.1,0.0,0.4,0.7,24.5,0.0,1.8,27.5,41.0,0.0,6.2,23.4,2018-2019
64.0,41.0,42.0,0.0,0.0,0.0,0.0,01-1300-030,72.0,2.8,48.4,3.3,51.6,0.0,0.4,0.8,24.8,0.0,1.6,24.0,39.0,0.0,7.7,27.6,2018-2019
0.0,0.0,0.0,574.0,573.0,588.0,613.0,01-1310-005,43.9,3.0,49.8,1.1,50.2,0.0,1.1,0.2,9.5,0.3,16.4,11.2,25.3,0.2,2.0,44.5,2018-2019
0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-1310-033,58.6,8.1,44.6,2.0,55.4,0.0,0.8,0.4,27.2,0.1,18.5,10.5,37.3,0.1,7.2,26.2,2018-2019
0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-1310-035,26.9,1.9,51.6,0.2,48.4,0.0,3.5,0.7,15.0,0.0,9.6,5.9,18.1,0.5,5.8,60.2,2018-2019
293.0,271.0,311.0,0.0,0.0,0.0,0.0,01-1310-038,48.1,2.1,47.8,1.1,52.2,0.0,0.9,0.1,15.8,0.1,15.8,10.2,25.8,0.1,5.0,43.0,2018-2019
302.0,295.0,359.0,0.0,0.0,0.0,0.0,01-1310-039,46.5,2.1,47.6,1.0,52.4,0.0,1.5,0.3,11.8,0.0,13.6,10.3,26.8,0.1,4.3,45.0,2018-2019
0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-1310-045,48.8,3.1,47.9,1.4,52.1,0.0,1.5,0.5,15.6,0.1,13.4,9.5,26.2,0.1,6.2,44.5,2018-2019
0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-1310-050,32.1,5.6,44.5,1.1,55.5,0.0,1.3,0.4,16.9,0.2,14.2,7.0,20.0,0.0,5.8,52.8,2018-2019
26.0,22.0,14.0,0.0,0.0,0.0,0.0,01-1410-050,26.4,0.0,48.9,0.0,51.1,0.0,0.0,0.0,20.9,0.0,0.0,1.6,3.3,0.5,1.6,92.9,2018-2019
45.0,42.0,44.0,0.0,0.0,0.0,0.0,01-1540-050,27.4,0.3,46.7,0.3,53.3,0.0,1.3,0.3,20.6,0.0,0.8,3.3,5.5,0.0,3.0,87.4,2018-2019
108.0,0.0,0.0,0.0,0.0,0.0,0.0,01-1690-015,49.0,4.4,47.9,1.5,52.1,0.1,0.1,0.4,16.5,0.3,12.4,12.1,20.9,0.1,6.3,47.8,2018-2019
0.0,380.0,370.0,0.0,0.0,0.0,0.0,01-1690-016,48.0,1.2,50.3,2.0,49.7,0.0,0.1,0.5,18.9,0.0,10.9,18.3,23.1,0.1,5.9,41.7,2018-2019
0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-1690-040,56.4,6.8,32.3,0.0,67.7,0.0,0.8,0.8,63.2,0.0,9.8,16.5,31.6,0.0,4.5,37.6,2018-2019
85.0,0.0,0.0,0.0,0.0,0.0,0.0,01-1690-045,50.3,7.2,47.0,2.5,53.0,0.0,0.2,0.7,20.0,0.0,18.4,17.0,26.3,0.0,7.5,30.8,2018-2019
