home_language,pct_of_students,county_district_school_code,academic_year
English,86.5,01-0010-050,2018-2019
Spanish,7.2,01-0010-050,2018-2019
Other,3.4,01-0010-050,2018-2019
Urdu,1.9,01-0010-050,2018-2019
Bengali,1.1,01-0010-050,2018-2019
English,79.0,01-0010-060,2018-2019
Spanish,12.4,01-0010-060,2018-2019
Other,4.9,01-0010-060,2018-2019
Urdu,2.2,01-0010-060,2018-2019
Bengali,1.4,01-0010-060,2018-2019
English,56.0,01-0110-010,2018-2019
Spanish,23.9,01-0110-010,2018-2019
Bengali,9.7,01-0110-010,2018-2019
Other,6.1,01-0110-010,2018-2019
Vietnamese,2.4,01-0110-010,2018-2019
Urdu,2.0,01-0110-010,2018-2019
Spanish,58.2,01-0110-030,2018-2019
English,17.7,01-0110-030,2018-2019
Bengali,11.5,01-0110-030,2018-2019
Vietnamese,5.8,01-0110-030,2018-2019
Other,5.2,01-0110-030,2018-2019
Urdu,1.6,01-0110-030,2018-2019
English,42.3,01-0110-050,2018-2019
Spanish,31.0,01-0110-050,2018-2019
Bengali,17.0,01-0110-050,2018-2019
Other,5.1,01-0110-050,2018-2019
Vietnamese,2.7,01-0110-050,2018-2019
Urdu,1.9,01-0110-050,2018-2019
Spanish,61.2,01-0110-060,2018-2019
English,15.5,01-0110-060,2018-2019
Bengali,14.8,01-0110-060,2018-2019
Urdu,3.4,01-0110-060,2018-2019
Other,2.8,01-0110-060,2018-2019
Vietnamese,2.2,01-0110-060,2018-2019
English,85.0,01-0110-070,2018-2019
Spanish,9.3,01-0110-070,2018-2019
Other,3.0,01-0110-070,2018-2019
Urdu,1.7,01-0110-070,2018-2019
"Creoles and pidgins, French-based",1.0,01-0110-070,2018-2019
English,80.6,01-0110-080,2018-2019
Spanish,18.7,01-0110-080,2018-2019
Other,0.7,01-0110-080,2018-2019
English,72.9,01-0110-100,2018-2019
Spanish,18.3,01-0110-100,2018-2019
Other,3.4,01-0110-100,2018-2019
"Creoles and pidgins, French-based",2.4,01-0110-100,2018-2019
Bengali,2.0,01-0110-100,2018-2019
Chinese,1.1,01-0110-100,2018-2019
Spanish,36.8,01-0110-120,2018-2019
English,34.1,01-0110-120,2018-2019
Bengali,15.8,01-0110-120,2018-2019
Other,6.7,01-0110-120,2018-2019
Urdu,3.4,01-0110-120,2018-2019
Chinese,3.1,01-0110-120,2018-2019
English,79.1,01-0110-130,2018-2019
Spanish,13.4,01-0110-130,2018-2019
Urdu,3.0,01-0110-130,2018-2019
Vietnamese,1.5,01-0110-130,2018-2019
Other,1.5,01-0110-130,2018-2019
"English, Middle (1100-1500)",1.5,01-0110-130,2018-2019
English,90.0,01-0110-140,2018-2019
Spanish,8.6,01-0110-140,2018-2019
Other,1.4,01-0110-140,2018-2019
Spanish,54.8,01-0110-300,2018-2019
English,24.2,01-0110-300,2018-2019
Bengali,11.8,01-0110-300,2018-2019
Vietnamese,4.3,01-0110-300,2018-2019
Other,2.6,01-0110-300,2018-2019
Urdu,2.3,01-0110-300,2018-2019
English,82.3,01-0120-010,2018-2019
Spanish,15.3,01-0120-010,2018-2019
Other,2.4,01-0120-010,2018-2019
English,86.0,01-0120-300,2018-2019
Spanish,14.0,01-0120-300,2018-2019
English,82.1,01-0125-030,2018-2019
Spanish,12.9,01-0125-030,2018-2019
Other,5.0,01-0125-030,2018-2019
English,83.9,01-0125-060,2018-2019
Spanish,10.9,01-0125-060,2018-2019
Other,5.1,01-0125-060,2018-2019
English,87.0,01-0570-010,2018-2019
Spanish,5.9,01-0570-010,2018-2019
Urdu,2.9,01-0570-010,2018-2019
Other,2.3,01-0570-010,2018-2019
Chinese,1.0,01-0570-010,2018-2019
Pashto,1.0,01-0570-010,2018-2019
English,86.5,01-0570-030,2018-2019
Spanish,4.5,01-0570-030,2018-2019
Other,4.1,01-0570-030,2018-2019
Urdu,3.7,01-0570-030,2018-2019
Arabic,1.2,01-0570-030,2018-2019
English,99.3,01-0590-025,2018-2019
Other,0.7,01-0590-025,2018-2019
English,99.5,01-0590-030,2018-2019
Other,0.5,01-0590-030,2018-2019
English,100.0,01-0590-045,2018-2019
English,96.9,01-0590-055,2018-2019
Spanish,2.1,01-0590-055,2018-2019
Other,1.0,01-0590-055,2018-2019
English,99.7,01-0590-300,2018-2019
Other,0.3,01-0590-300,2018-2019
English,90.5,01-1300-020,2018-2019
Spanish,7.7,01-1300-020,2018-2019
Chinese,1.1,01-1300-020,2018-2019
Other,0.7,01-1300-020,2018-2019
English,86.6,01-1300-030,2018-2019
Spanish,11.8,01-1300-030,2018-2019
Other,1.6,01-1300-030,2018-2019
English,70.4,01-1310-005,2018-2019
Spanish,14.7,01-1310-005,2018-2019
Other,7.0,01-1310-005,2018-2019
Vietnamese,3.1,01-1310-005,2018-2019
Chinese,2.5,01-1310-005,2018-2019
Bengali,2.4,01-1310-005,2018-2019
English,68.8,01-1310-033,2018-2019
Spanish,15.8,01-1310-033,2018-2019
Other,6.9,01-1310-033,2018-2019
Bengali,3.1,01-1310-033,2018-2019
Vietnamese,2.9,01-1310-033,2018-2019
Urdu,2.4,01-1310-033,2018-2019
English,87.1,01-1310-035,2018-2019
Spanish,6.0,01-1310-035,2018-2019
Other,3.8,01-1310-035,2018-2019
Vietnamese,1.9,01-1310-035,2018-2019
Chinese,1.3,01-1310-035,2018-2019
English,76.9,01-1310-038,2018-2019
Spanish,11.3,01-1310-038,2018-2019
Other,5.4,01-1310-038,2018-2019
Chinese,2.7,01-1310-038,2018-2019
Vietnamese,1.9,01-1310-038,2018-2019
Bengali,1.7,01-1310-038,2018-2019
English,77.0,01-1310-039,2018-2019
Spanish,11.3,01-1310-039,2018-2019
Other,4.7,01-1310-039,2018-2019
Vietnamese,2.8,01-1310-039,2018-2019
Bengali,2.3,01-1310-039,2018-2019
Chinese,1.9,01-1310-039,2018-2019
English,77.7,01-1310-045,2018-2019
Spanish,10.7,01-1310-045,2018-2019
Other,5.6,01-1310-045,2018-2019
Vietnamese,3.0,01-1310-045,2018-2019
Chinese,1.5,01-1310-045,2018-2019
Bengali,1.5,01-1310-045,2018-2019
English,82.5,01-1310-050,2018-2019
Spanish,7.0,01-1310-050,2018-2019
Other,5.2,01-1310-050,2018-2019
Vietnamese,2.0,01-1310-050,2018-2019
Gujarati,1.8,01-1310-050,2018-2019
Bengali,1.6,01-1310-050,2018-2019
English,100.0,01-1410-050,2018-2019
English,98.2,01-1540-050,2018-2019
Other,1.8,01-1540-050,2018-2019
English,72.9,01-1690-015,2018-2019
Spanish,11.9,01-1690-015,2018-2019
Other,7.2,01-1690-015,2018-2019
Gujarati,4.6,01-1690-015,2018-2019
Urdu,1.8,01-1690-015,2018-2019
Vietnamese,1.6,01-1690-015,2018-2019
English,78.3,01-1690-016,2018-2019
Spanish,12.0,01-1690-016,2018-2019
Other,4.8,01-1690-016,2018-2019
Gujarati,2.5,01-1690-016,2018-2019
"Creoles and pidgins, French-based",1.3,01-1690-016,2018-2019
Chinese,1.1,01-1690-016,2018-2019
